label,fg_per_game,fga_per_game,fg_percent,x3pa_per_game,x3p_percent,x2pa_per_game,x2p_percent,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
PG,2.4,5.3,0.446,2.8,0.387,2.6,0.51,0.8,0.921,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.6,6.6
C,3.3,6.4,0.511,4,0.419,2.5,0.658,0.5,0.867,1.3,5.1,6.4,2.6,0.6,1,0.7,1.4,8.6
C,1,1.7,0.617,0.1,0,1.6,0.641,0.7,0.588,1,1.7,2.7,1,0.2,0.7,0.6,1.4,2.5
C,8.4,15.6,0.537,1.8,0.297,13.8,0.567,5.6,0.693,2.9,6.4,9.3,5,1.2,0.7,2.6,3.3,21.1
PG,0.8,2.4,0.333,0.8,0.125,1.6,0.438,0.7,0.857,0.6,0.3,0.9,0.7,0.3,0,0.4,0.2,2.3
C,3.4,6.1,0.556,0,0,6,0.56,2.8,0.592,3.4,5.6,9,0.5,0.9,0.6,1,1.8,8.4
PG,3.8,7.7,0.498,2.5,0.357,5.2,0.567,0.8,0.804,0.5,1.5,2.1,4.1,0.9,0.1,1.5,2.1,9.2
PG,1.7,3.6,0.466,1.4,0.394,2.2,0.51,1.2,0.613,0.5,1.5,2,1.3,0.5,0.3,0.8,1.6,4.6
C,9.4,16.9,0.556,1.4,0.271,15.5,0.582,6.8,0.816,3.1,9.5,12.6,3.5,1.2,2.3,2.1,2.3,24.7
PG,1.5,4.6,0.326,3.2,0.344,1.4,0.286,0.2,0.5,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2
PG,1.5,3.7,0.408,1.3,0.32,2.4,0.457,0.9,0.824,0.7,1.6,2.4,2.8,0.6,0.5,1.6,2.1,4.2
C,7.5,14.3,0.521,0.6,0.357,13.7,0.528,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3
